lr,l2_reg,n_steps,ddim_steps,surrogate_lr,surrogate_n_inner,score,mean_auc,mean_qed,mean_sas,validity
0.02,0.1,100,30,0.0001,5,0.004007179789712351,0.11676906545956929,0.565102301449099,3.2354981095053574,1.0
0.02,0.1,100,50,0.001,2,0.002513273836329988,0.11883621911207835,0.5859708767968442,3.4327189090002754,1.0
0.02,0.2,100,50,0.003,3,-0.03074334877003626,0.11386354267597198,0.5001960687794376,3.339556809675661,1.0
0.02,0.05,100,50,0.003,5,-0.03116338363139598,0.09815839553872745,0.4815953669158472,3.476053431011843,1.0
0.01,0.05,100,50,0.0001,2,-0.13663692133373803,0.17699597279230753,0.4292849593944113,3.4856685647727232,1.0
0.01,0.03,100,30,0.0005,5,-0.1518761380147407,0.20185869932174683,0.45278587331517905,3.5282075070116683,1.0
0.005,0.01,100,50,0.0001,3,-0.23111112535628583,0.2596614907185237,0.4146036061276303,3.575028754031546,1.0
0.005,0.01,100,30,0.0005,3,-0.2546669642052684,0.2771584490935008,0.38540724506132057,3.404242752848558,1.0
0.005,0.03,100,50,0.0005,5,-0.2555454898772044,0.28024712204933167,0.3945151734660122,3.4511190912175773,1.0
0.005,0.2,100,30,0.003,5,-0.28727324398386966,0.2948051293690999,0.3802219526616784,3.6515818189121796,0.9791666666666666
0.003,0.03,100,30,0.0001,2,-0.31334072016744574,0.30955374240875244,0.352082883569687,3.596568390870736,1.0
0.003,0.01,100,30,0.001,2,-0.3222681211803361,0.32681015133857727,0.37351078569846013,3.6442672538197787,0.9791666666666666
0.003,0.01,100,50,0.003,5,-0.3244515015886202,0.33143336574236554,0.37475821011325494,3.6079448180576423,1.0
0.003,0.1,100,50,0.0005,2,-0.3284139015546177,0.33842962980270386,0.37806354038846074,3.580320838922885,1.0
0.003,0.03,100,30,0.003,3,-0.3307646111264284,0.3330702980359395,0.36310073415737776,3.5848936033835557,0.9791666666666666
0.001,0.01,100,30,0.0005,2,-0.44891323504961606,0.42833736538887024,0.33409518066179006,3.752469199832816,0.9375
0.001,0.03,100,30,0.0005,5,-0.45574779114318187,0.4334835112094879,0.3462079400783091,3.90736499945697,0.9375
0.001,0.05,100,50,0.0001,2,-0.45785831375731967,0.43512339393297833,0.33888739349666647,3.843572331453491,0.9375
0.001,0.2,100,50,0.0001,2,-0.45796689118222855,0.4346725642681122,0.3374907449420614,3.8407939877029413,0.9375
0.001,0.1,100,50,0.001,5,-0.4679000819587785,0.442571888367335,0.3296865663691089,3.8034295355199603,0.9166666666666666
